C:\Anaconda\envs\tensorflow\python.exe G:/Projekte/GitHub/TensorFlow/TensorFlow/traicy/filters/DEBUG.py
Tue Apr 24 19:51:56 2018    FilterResult

         1783975 function calls (1771252 primitive calls) in 4.838 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-10>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-2>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-3>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-4>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-5>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-6>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(<module>)
        3    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(_held_figure)
        1    0.000    0.000    0.000    0.000 <decorator-gen-8>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-9>:1(<module>)
     1350    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
      944    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      944    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:147(__enter__)
      944    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
     1350    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      944    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      406    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
  1218/13    0.001    0.000    0.823    0.063 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     6662    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:269(_module_repr)
      869    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      869    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
      869    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:318(__exit__)
     3476    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      720    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      935    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
     1568    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:403(cached)
     2110    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
      869    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
      869    0.003    0.000    0.016    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
  869/736    0.001    0.000    0.192    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      944    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:58(__init__)
